iter	Passed	Remaining
583	7356	5240
584	7368	5227
585	7381	5215
586	7393	5201
587	7406	5189
588	7418	5176
589	7430	5163
590	7441	5149
591	7453	5136
592	7465	5123
593	7477	5111
594	7489	5097
595	7501	5085
596	7514	5072
597	7526	5059
598	7538	5046
599	7550	5033
600	7562	5020
601	7576	5008
602	7587	4995
603	7599	4982
604	7611	4969
605	7623	4956
606	7635	4943
607	7646	4930
608	7659	4917
609	7671	4904
610	7684	4892
611	7696	4879
612	7709	4867
613	7721	4854
614	7734	4841
615	7745	4828
616	7758	4815
617	7769	4802
618	7784	4791
619	7796	4778
620	7808	4765
621	7821	4753
622	7833	4740
623	7845	4727
624	7857	4714
625	7869	4701
626	7882	4689
627	7894	4676
628	7906	4663
629	7917	4649
630	7929	4637
631	7940	4623
632	7951	4610
633	7964	4598
634	7976	4585
635	7989	4572
636	8002	4560
637	8013	4547
638	8026	4534
639	8038	4521
640	8050	4508
641	8062	4495
642	8073	4482
643	8086	4470
644	8099	4457
645	8111	4445
646	8124	4432
647	8136	4419
648	8148	4406
649	8161	4394
650	8173	4381
651	8185	4368
652	8196	4355
653	8209	4343
654	8221	4330
655	8233	4317
656	8245	4304
657	8258	4292
658	8269	4279
659	8282	4266
660	8295	4254
661	8307	4241
662	8319	4228
663	8332	4216
664	8344	4203
665	8357	4191
666	8369	4178
667	8381	4165
668	8395	4153
669	8407	4141
670	8420	4128
671	8432	4115
672	8444	4103
673	8456	4090
674	8467	4077
675	8480	4064
676	8492	4051
677	8504	4039
678	8517	4026
679	8530	4014
680	8543	4001
681	8555	3989
682	8567	3976
683	8579	3963
684	8591	3950
685	8604	3938
686	8616	3925
687	8628	3912
688	8639	3899
689	8652	3887
690	8664	3874
691	8677	3862
692	8688	3849
693	8701	3836
694	8713	3823
695	8725	3811
696	8737	3798
697	8751	3786
698	8762	3773
699	8775	3760
700	8787	3748
701	8800	3735
702	8813	3723
703	8825	3710
704	8837	3698
705	8850	3685
706	8862	3672
707	8874	3660
708	8886	3647
709	8899	3635
710	8912	3622
711	8925	3610
712	8939	3598
713	8950	3585
714	8962	3572
715	8974	3559
716	8987	3547
717	8998	3534
718	9010	3521
719	9023	3509
720	9037	3497
721	9049	3484
722	9061	3471
723	9073	3458
724	9086	3446
725	9098	3433
726	9111	3421
727	9123	3408
728	9136	3396
729	9149	3383
730	9160	3371
731	9172	3358
732	9185	3345
733	9197	3333
734	9209	3320
735	9221	3307
736	9234	3295
737	9246	3282
738	9258	3269
739	9270	3257
740	9283	3244
741	9295	3232
742	9308	3219
743	9320	3207
744	9333	3194
745	9346	3182
746	9358	3169
747	9370	3156
748	9382	3144
749	9394	3131
750	9406	3118
751	9419	3106
752	9431	3093
753	9444	3081
754	9457	3068
755	9469	3056
756	9481	3043
757	9492	3030
758	9504	3017
759	9516	3005
760	9529	2992
761	9541	2980
762	9554	2967
763	9566	2954
